a;b;c;d;e;f
70509.0;689459.7995961097;0.49895081681725745;0.27003271492463143;0.7984297775671321;0.9979016336345149
70400.0;683838.4078961102;0.49843188707018043;0.2711611727679311;0.7919199179244415;0.9968637741403609
70391.0;683359.3647961101;0.49843188707018043;0.2712543481861852;0.7913651614672814;0.9968637741403609
70354.0;681736.7922961101;0.49843188707018043;0.27163740268345204;0.7894861393676311;0.9968637741403609
70282.0;686426.2070961099;0.49780845732391865;0.27238280602948484;0.794916722003308;0.9956169146478373
70245.0;677884.0673961102;0.49780845732391865;0.2727658605267517;0.7850244865102256;0.9956169146478373
70127.0;702477.7161961099;0.49708013439207804;0.27398749378830545;0.8135051920603549;0.9941602687841561
70086.0;687946.6603761108;0.4970801343920781;0.27441195958257414;0.7966774848133565;0.9941602687841562
70064.0;695450.69429611;0.49708013439207804;0.27463972171608414;0.8053675406180764;0.9941602687841561
70035.0;682857.8279961101;0.49708013439207804;0.27493995361934737;0.7907843561528884;0.9941602687841561
70032.0;737708.5289961101;0.4962464564310941;0.27497101209209873;0.8543042785972229;0.9924929128621882
69991.0;702897.3727761111;0.49624645643109405;0.2753954778863674;0.8139911758842431;0.9924929128621881
69968.0;675786.2423761111;0.4962464564310941;0.27563359284412786;0.7825950976392952;0.9924929128621882
69917.0;667350.0771961098;0.49667229124338486;0.2761615868809011;0.772825586070769;0.9933445824867697
69917.0;669489.042752222;0.4960115702783143;0.2761615868809011;0.7753026177906617;0.9920231405566285
69873.0;726103.3375761112;0.49530689145492085;0.27661711114792115;0.8408648722539934;0.9906137829098417
69808.0;663867.651052222;0.49524717299297827;0.27729004472420077;0.7687927581479704;0.9904943459859565
69762.0;661766.0354522223;0.49524717299297827;0.2777662746397217;0.7663589795911606;0.9904943459859565
69731.0;681656.1967761111;0.4942608356062636;0.27808721219148586;0.7893928056255575;0.9885216712125272
69703.0;651915.14939611;0.49530689145492085;0.2783770912704986;0.7549511487542816;0.9906137829098417
69690.0;659535.8830522222;0.49437691345193524;0.2785116779857545;0.7637763488334051;0.9887538269038705
69689.0;678998.5955156179;0.49426083560626355;0.278522030810005;0.7863151671838082;0.9885216712125271
69667.0;646926.20379611;0.4970683326863403;0.278749792943515;0.7491736941035014;0.9941366653726806
69667.0;648930.5193356164;0.4956434856908257;0.278749792943515;0.7514947942043628;0.9912869713816514
69653.0;657913.310552222;0.49437691345193524;0.2788947324830214;0.7618973267337545;0.9887538269038705
69644.0;657434.2674522222;0.49437691345193524;0.2789879079012755;0.7613425702765949;0.9887538269038705
69610.0;662734.5955156178;0.49310761117104446;0.27933990392579094;0.7674806217759991;0.9862152223420889
69535.0;653581.5425522221;0.4934002314958247;0.2801163657445751;0.7568809174191892;0.9868004629916494
69492.0;694070.52449611;0.4931076111710444;0.2805615371873447;0.8037692332663434;0.9862152223420888
69389.0;656023.4018761107;0.49310761117104446;0.2816278780851416;0.7597087156431969;0.9862152223420889
69382.0;669840.589552222;0.4923164937468077;0.28170034785489484;0.775709726999194;0.9846329874936154
69371.0;699072.0310356163;0.49184646432049567;0.2818142289216498;0.8095612341287256;0.9836929286409913
69334.0;651205.6962522222;0.4923164937468077;0.2821972834189167;0.754129565659516;0.9846329874936154
69320.0;684600.4697749433;0.49184646432049567;0.28234222295842304;0.7928024246300761;0.9836929286409913
69288.0;649104.0806522222;0.4923164937468077;0.28267351333443763;0.7516957871027059;0.9846329874936154
69278.0;668377.2680961099;0.49184646432049567;0.28277704157694217;0.7740151257687854;0.9836929286409913
69259.0;697307.4080522223;0.4911249915035026;0.28297374523770086;0.8075177102902851;0.9822499830070052
69251.0;647320.1834156176;0.4904765625628579;0.28305656783170446;0.7496299426913867;0.9809531251257158
69220.0;635797.1174522219;0.4923164937468077;0.2833775053834686;0.7362856418352164;0.9846329874936154
69216.0;642164.3436156176;0.4904765625628579;0.2834189166804704;0.7436592160049327;0.9809531251257158
69139.0;661685.4399322233;0.4898249383531077;0.2842160841477555;0.7662656458490869;0.9796498767062154
69111.0;631944.3925522224;0.4911249915035026;0.28450596322676824;0.7318239889778112;0.9822499830070052
69081.0;656500.0764522222;0.48982493835310764;0.2848165479542819;0.7602607292283248;0.9796498767062153
69065.0;629842.776952222;0.4911249915035026;0.28498219314228923;0.7293902104210007;0.9822499830070052
69045.0;639292.8206322233;0.4898249383531077;0.2851892496272983;0.7403338452461828;0.9796498767062154
69031.0;636911.7718156176;0.4889969918839256;0.2853341891668047;0.7375764687056904;0.9779939837678512
68958.0;657332.118432223;0.4884154674814089;0.286089945337088;0.761224276477066;0.9768309349628178
68956.0;625990.0520522221;0.48982493835310775;0.28611065098558885;0.7249285575635951;0.9796498767062155
68939.0;636155.5979522222;0.488415467481409;0.2862866489978466;0.7367007806236492;0.976830934962818
